step,episode,timestamp,env/episode_length,env/episode_reward,env/score_diff,env/win_rate_100,train/epsilon,train/loss,eval/avg_score_diff,eval/avg_steps,eval/losses,eval/win_rate,eval/wins
800,212,2026-01-04T20:31:40.130559,26,0.4771800000000001,-8,0.62,0.995953,0.00358522217720747,,,,,
803,213,2026-01-04T20:31:43.925976,24,0.41317213483146065,-8,0.62,0.995934,0.0021804990246891975,,,,,
807,214,2026-01-04T20:31:48.980330,26,0.5090930337078652,5,0.62,0.995915,0.0013744899915764108,,,,,
811,215,2026-01-04T20:31:53.938690,26,0.4987468164794008,-1,0.61,0.995896,0.004643177438993007,,,,,
815,216,2026-01-04T20:31:58.979710,26,1.546736179775281,8,0.62,0.995877,0.003924651653505862,,,,,
819,217,2026-01-04T20:32:04.037283,28,0.5039030711610486,0,0.62,0.995858,0.0031125867972150445,,,,,
823,218,2026-01-04T20:32:09.116769,30,0.5422725842696627,-10,0.61,0.995839,0.002572505036368966,,,,,
827,219,2026-01-04T20:32:14.114097,30,0.5629668164794007,-1,0.6,0.99582,0.0017585643217898905,,,,,
830,220,2026-01-04T20:32:17.924532,25,0.4142086891385769,-4,0.59,0.995801,0.0017630683335786064,,,,,
834,221,2026-01-04T20:32:22.969208,26,1.5440476404494383,10,0.59,0.995782,0.0027918513951590285,,,,,
838,222,2026-01-04T20:32:28.018826,27,1.504256254681648,4,0.6,0.995763,0.002976209972985089,,,,,
842,223,2026-01-04T20:32:33.141870,30,0.5670769288389514,-6,0.6,0.995744,0.0022868805390316993,,,,,
846,224,2026-01-04T20:32:38.123665,26,1.534398052434457,7,0.6,0.995725,0.0034264056594111025,,,,,
850,225,2026-01-04T20:32:43.179354,27,0.49869700374531833,-4,0.6,0.995706,0.0035451035073492676,,,,,
854,226,2026-01-04T20:32:48.186111,29,1.540838277153558,5,0.6,0.995687,0.0025266833399655297,,,,,
858,227,2026-01-04T20:32:53.225371,30,1.6312697378277154,10,0.61,0.995668,0.005665523000061512,,,,,
862,228,2026-01-04T20:32:58.216961,26,0.4473086142322097,-3,0.6,0.995649,0.00300584189244546,,,,,
865,229,2026-01-04T20:33:02.076892,25,0.4626863670411986,-3,0.6,0.99563,0.0025990085947948196,,,,,
868,230,2026-01-04T20:33:05.996925,27,0.48095026217228476,-12,0.59,0.995611,0.002718592256618043,,,,,
873,231,2026-01-04T20:33:12.210923,30,1.6282558052434457,18,0.6,0.995592,0.003204684320371598,,,,,
877,232,2026-01-04T20:33:17.238331,27,0.48589528089887657,-6,0.59,0.995573,0.003412282560020685,,,,,
881,233,2026-01-04T20:33:22.163260,26,0.4781182022471909,-1,0.58,0.995554,0.0016341499576810747,,,,,
884,234,2026-01-04T20:33:26.048120,25,0.44517415730337084,-5,0.57,0.995535,0.002107943951462706,,,,,
888,235,2026-01-04T20:33:31.135529,31,0.5412277902621723,-5,0.57,0.995516,0.0036646967055276036,,,,,
